date,ticker,ETF_id,name,gics_sector,open,high,low,close,volume,amount,index_close,market_corr_active,market_corr_rolling20,market_corr_ewma20,market_beta_rolling20,market_score,market_rank,market_valid,flow_score_raw,flow_score,flow_rank,flow_valid,rotation_score_raw,rotation_score,rotation_rank,rotation_valid,tradable,all_rank_valid
2025-09-10,476800,ETF_010,KODEX 한국부동산리츠인프라,Real Estate,4573.0,4582.0,4563.0,4582.0,1642959.0,7514.0,45011.0,0.2214792460901281,0.2214792460901281,0.4056695030061876,0.0814263269309761,0.6666666666666667,4.0,True,-0.688901384936457,0.2222222222222222,8.0,True,-0.6314509710770237,0.4444444444444444,6.0,True,True,True
2025-09-11,117460,ETF_001,KODEX 에너지화학,Energy,11569.0,11584.0,11460.0,11584.0,27521.0,318.0,45306.0,0.5391892051014693,0.5391892051014693,0.6842979464363136,0.6401181287066892,0.5555555555555556,5.0,True,-1.9412908492823444,0.0,10.0,True,0.1234622525600364,0.6666666666666667,4.0,True,True,True
2025-09-11,117680,ETF_002,KODEX 철강,Materials,11522.0,11537.0,11418.0,11458.0,63538.0,728.0,45306.0,0.7394226603445353,0.7394226603445353,0.6451616344063847,0.9040465333435864,0.2222222222222222,8.0,True,0.1522686825771793,0.7777777777777778,3.0,True,-1.1970837194386523,0.1111111111111111,9.0,True,True,True
2025-09-11,139260,ETF_003,TIGER 200 IT,Information Technology,34865.0,35383.0,34795.0,35164.0,217509.0,7621.0,45306.0,0.899939383457325,0.899939383457325,0.8871546668022114,1.5196905835477297,0.0,10.0,True,-0.4178951789318055,0.3333333333333333,7.0,True,0.878142564913952,0.7777777777777778,3.0,True,True,True
2025-09-11,139270,ETF_004,TIGER 200 금융,Financials,11963.0,11973.0,11753.0,11895.0,167696.0,1991.0,45306.0,0.801082255281231,0.801082255281231,0.7170258867992968,1.2893370509826318,0.1111111111111111,9.0,True,-0.2685976108635642,0.5555555555555556,5.0,True,-1.2114519190841524,0.0,10.0,True,True,True
2025-09-11,227550,ETF_005,TIGER 200 산업재,Industrials,9827.0,9960.0,9827.0,9960.0,4660.0,46.0,45306.0,0.6553209653902176,0.6553209653902176,0.649006487960276,0.8513268910613039,0.3333333333333333,7.0,True,0.4436031166513753,0.8888888888888888,2.0,True,1.67576947477937,1.0,1.0,True,True,True
2025-09-11,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,9549.0,9594.0,9544.0,9584.0,10391.0,99.0,45306.0,0.2302960655132298,0.2302960655132298,0.5129239196686777,0.1942675852812447,0.7777777777777778,3.0,True,-0.6621708690765461,0.2222222222222222,8.0,True,-0.12196310409864,0.5555555555555556,5.0,True,True,True
2025-09-11,266410,ETF_007,KODEX 필수소비재,Consumer Staples,8315.0,8425.0,8261.0,8425.0,33197.0,278.0,45306.0,0.2079803169782322,0.2079803169782322,0.3636484093093983,0.1367376437970248,0.8888888888888888,2.0,True,-1.1438104989412263,0.1111111111111111,9.0,True,1.317499851725175,0.8888888888888888,2.0,True,True,True
2025-09-11,266420,ETF_008,KODEX 헬스케어,Health Care,19155.0,19335.0,19030.0,19160.0,64100.0,1229.0,45306.0,0.5961474002355172,0.5961474002355172,0.5513416675595305,0.559291257685797,0.4444444444444444,6.0,True,-0.0914096815860777,0.6666666666666667,4.0,True,-0.5542591068329145,0.3333333333333333,7.0,True,True,True
2025-09-11,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,21660.0,21660.0,21561.0,21561.0,56.0,1.0,45306.0,0.0864824645071099,0.0864824645071099,0.4142191816874484,0.0615197900569756,1.0,1.0,True,-0.3517924579129566,0.4444444444444444,6.0,True,-0.3270848309983705,0.4444444444444444,6.0,True,True,True
2025-09-11,476800,ETF_010,KODEX 한국부동산리츠인프라,Real Estate,4592.0,4592.0,4568.0,4582.0,1758913.0,8052.0,45306.0,0.2460797178821206,0.2460797178821206,0.4017990107669243,0.0910453189441092,0.6666666666666667,4.0,True,1.2668203720347264,1.0,1.0,True,-0.5830314635258033,0.2222222222222222,8.0,True,True,True
2025-09-12,117460,ETF_001,KODEX 에너지화학,Energy,11699.0,11744.0,11634.0,11694.0,58643.0,685.0,46222.0,0.5775981192459314,0.5775981192459314,0.6810719553299334,0.6328204312023683,0.5555555555555556,5.0,True,0.3314174932544945,0.6666666666666667,4.0,True,-0.4536228675664378,0.4444444444444444,6.0,True,True,True
2025-09-12,117680,ETF_002,KODEX 철강,Materials,11508.0,11968.0,11463.0,11928.0,140065.0,1652.0,46222.0,0.7796747515404643,0.7796747515404643,0.6815515914263872,1.113549924163252,0.2222222222222222,8.0,True,0.6997887324228935,0.8888888888888888,2.0,True,1.4824076562888118,0.8888888888888888,2.0,True,True,True
2025-09-12,139260,ETF_003,TIGER 200 IT,Information Technology,35796.0,36723.0,35796.0,36723.0,297692.0,10835.0,46222.0,0.9129408955283606,0.9129408955283606,0.8934460960815225,1.6307920369265303,0.0,10.0,True,1.8689348167721056,1.0,1.0,True,1.68262757560884,1.0,1.0,True,True,True
2025-09-12,139270,ETF_004,TIGER 200 금융,Financials,12046.0,12066.0,11929.0,12056.0,124933.0,1498.0,46222.0,0.8029985242480701,0.8029985242480701,0.7151512879632415,1.2063757720598896,0.1111111111111111,9.0,True,0.0226092067075069,0.3333333333333333,7.0,True,-0.202200297366293,0.5555555555555556,5.0,True,True,True
2025-09-12,227550,ETF_005,TIGER 200 산업재,Industrials,9960.0,9960.0,9896.0,9955.0,2107.0,21.0,46222.0,0.6120394517540375,0.6120394517540375,0.6118021617824513,0.7256818222994424,0.4444444444444444,6.0,True,-0.4708728954023552,0.0,10.0,True,-1.0802923027611988,0.0,10.0,True,True,True
2025-09-12,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,9584.0,9654.0,9579.0,9649.0,15374.0,148.0,46222.0,0.2921505483115833,0.2921505483115833,0.5240468380861162,0.2310037291943708,0.8888888888888888,2.0,True,-0.1791833055450979,0.2222222222222222,8.0,True,-0.6231038973888623,0.3333333333333333,7.0,True,True,True
2025-09-12,266410,ETF_007,KODEX 필수소비재,Consumer Staples,8588.0,8608.0,8420.0,8454.0,19097.0,162.0,46222.0,0.2063579049014292,0.2063579049014292,0.3585851887314936,0.1227291644670782,1.0,1.0,True,0.3011847408702641,0.5555555555555556,5.0,True,-0.8323265473552776,0.2222222222222222,8.0,True,True,True
2025-09-12,266420,ETF_008,KODEX 헬스케어,Health Care,19250.0,19485.0,19200.0,19480.0,72565.0,1406.0,46222.0,0.6504376544867572,0.6504376544867572,0.5762234656750266,0.5993713735795391,0.3333333333333333,7.0,True,0.6371863447375491,0.7777777777777778,3.0,True,-0.0058097195553275,0.6666666666666667,4.0,True,True,True
2025-09-12,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,21848.0,22254.0,21809.0,22230.0,20151.0,446.0,46222.0,0.3589353324253585,0.3589353324253585,0.4810115033505028,0.3312698826688115,0.6666666666666667,4.0,True,-0.3517924579129566,0.1111111111111111,9.0,True,0.8752177796833646,0.7777777777777778,3.0,True,True,True
2025-09-12,476800,ETF_010,KODEX 한국부동산리츠인프라,Real Estate,4578.0,4597.0,4573.0,4597.0,1309837.0,6006.0,46222.0,0.2941918888624368,0.2941918888624368,0.4123692002395787,0.0785532943424939,0.7777777777777778,3.0,True,0.0435936104502065,0.4444444444444444,6.0,True,-0.8428973795876188,0.1111111111111111,9.0,True,True,True
