strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,side
A4,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,176.89100467121938,16910.0,0.0277306668326316,0.08,0.076,0.0482693331673683,8197900.358304872,5206673.469314553,307.90499522853656,BUY
A4,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,259.6032371099263,16605.0,0.0399631709155986,0.2055555555555555,0.1952777777777777,0.1553146068621791,21064049.53175557,16753337.779545244,1008.9333200569253,BUY
A4,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1224.206287436453,12330.0,0.139935736919369,0.1172222222222222,0.111361111111111,-0.0285746258082579,12012201.219460608,-3082262.304630857,-249.9807221922836,SELL
A4,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2677.1958765715112,10225.0,0.2537782633056921,0.0261111111111111,0.0248055555555555,-0.2289727077501366,2675703.5891689504,-24698624.248774752,-2415.513373963301,SELL
A4,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,166.09343800051366,21135.0,0.0325436067849293,0.0177777777777777,0.0168888888888888,-0.0156547178960404,1821755.63517886,-1688629.176961996,-79.89728776730523,SELL
A4,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,624.7465432063519,22610.0,0.130952978575364,0.1061111111111111,0.1008055555555555,-0.0301474230198084,10873603.947473822,-3251915.3944217954,-143.82642169048188,SELL
A4,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,5210.116931548019,4805.0,0.2320875367965711,0.0,0.0,-0.2320875367965711,0.0,-25034611.856088232,-5210.116931548019,SELL
A5,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,581.1144151721008,18975.0,0.0957948871521593,0.1101187307026407,0.1046127941675087,0.0088179070153493,12041647.373533089,1015001.3456424754,53.49150701673125,BUY
A5,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,644.0233459739849,17765.0,0.0993952704170558,0.0956800599419928,0.0908960569448932,-0.0084992134721625,10462757.199873513,-978317.5413543284,-55.06994322287241,SELL
A5,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,121.61254982264396,124335.0,0.1313622836836322,0.1102802200516965,0.1047662090491116,-0.0265960746345205,12059306.474609744,-3061389.9075886942,-24.622108879950893,SELL
A5,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,583.3724850445519,16910.0,0.0857015045027296,0.0942780755786944,0.0895641717997597,0.0038626672970301,10309448.119589664,444619.3974862918,26.293281932956347,BUY
A5,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,656.8941748717646,16605.0,0.0947617751154317,0.0956800599419928,0.0908960569448932,-0.0038657181705385,10462757.199873513,-444970.5738721378,-26.797384755925197,SELL
A5,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,893.7727265305984,12330.0,0.0957390406864907,0.0982139545007832,0.093303256775744,-0.0024357839107466,10739842.34754981,-280375.3705724701,-22.739283906931885,SELL
A5,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1051.763393972593,10225.0,0.0934286911701135,0.100491629828921,0.095467048337475,0.0020383571673614,10988909.54036821,234628.83699844775,22.946585525520565,BUY
A5,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,482.6008444407996,21135.0,0.0886113241714301,0.0893614385291873,0.0848933666027279,-0.0037179575687021,9771806.52822692,-427962.3190293797,-20.248985996185457,SELL
A5,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,434.0102360078874,22610.0,0.0852509900993042,0.0982139545007832,0.093303256775744,0.0080522666764398,10739842.34754981,926870.9114114754,40.993848359640666,BUY
A5,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2072.7018786643425,4805.0,0.0865225140192149,0.1076818764233077,0.1022977826021423,0.0157752685829274,11775173.725088565,1815841.198106397,377.9065969003948,BUY
